chrom,start,end,Class,H3K27ac,H3K4me1,H3K4me3,H3K9me3,Brd4,Cdk8,Cdk9,Med12,p300,CBP,Pol2,Lsd1,Brg1,Smc1,Nipbl,Mi2b,CHD7,HDAC2,HDAC,DNaseI,Oct4,Sox2,Nanog,Smad3,Stat3,Tcf3,Esrrb,Klf4,Prdm14,Tcfcp2I1,Nr5a2,AT_content,GC_content,phastCons,phastConsP,repeat_fraction,length
chr1,36070190,36071796,SE,3.8644,0.9178,0.3916,0.0797,3.028,1.9163,1.2253,3.2412,5.5663,3.2185,1.6666,1.9353,1.6483,0.8857,0.5732,1.2912,1.5475,1.3231,0.7099,2.2972,1.3931,1.1185,2.146,1.3229,0.2713,1.0715,2.969,1.2198,2.257,1.3607,0.5251,0.514944,0.485056,0.13112,0.131122,0.925902864,1606
chr1,36073779,36074608,SE,2.3951,1.2342,0.2821,0,4.8668,1.9983,0.8225,2.0978,6.1742,4.6346,1.6765,1.1563,0.8158,0.634,0.5484,0.8401,1.7611,0.3808,0.6929,2.2937,0.7427,0.7921,0.6771,1.6661,0,0.3817,0,0.6519,0.9521,0.3021,0.0537,0.500603,0.499397,0.155842,0.155843,0.209891435,829
chr1,36111164,36111952,SE,1.4248,1.2409,0.1417,0,2.3539,1.887,1.4067,2.7515,4.4923,2.9366,0.3856,2.352,0.8941,0.7748,0.8403,1.6178,1.2387,1.2571,0.3781,1.1915,0.6932,0.8128,1.1479,1.7946,0.1387,0.2638,5.8054,1.497,1.5813,1.4116,1.2836,0.571066,0.428934,0.164677,0.164679,0.600253807,788
chr1,36116855,36118698,SE,4.0029,1.1665,0.1644,0,2.9642,3.0958,1.9341,3.8689,9.7219,5.3646,3.6817,3.0501,1.0119,0.7715,0.6527,1.2608,1.3923,1.1687,0.8452,2.9934,1.9525,1.9971,2.382,4.4138,0.2834,0.6749,1.5159,0.9182,5.2028,12.438,0.2592,0.497558,0.502442,0.202701,0.202703,0.071622355,1843
chr1,37039139,37039872,SE,0.6913,1.2687,0,0,3.2399,1.6013,0.7948,0.8115,1.5333,0.2124,1.9134,2.1548,0.2521,0.3181,0.199,0.5158,0.6858,0.1705,0,3.0757,2.1838,0.5653,1.4529,0,0,2.2992,0.0797,0.0199,0.0896,0,0.0604,0.52251,0.47749,0.0714779,0.0714779,0.199181446,733
chr1,37040357,37041747,SE,2.3083,1.5819,0,0,4.546,2.5895,1.5706,2.8522,3.9122,2.9055,3.7526,1.423,0.4966,0.3599,0.4917,0.8115,0.8907,0.2402,0.2185,2.3454,0.9474,0.4898,1.3504,1.2914,0.2274,1.1433,0.7293,0.5,1.6607,0.1144,0.7715,0.505755,0.494245,0.0557724,0.0557729,0.641007194,1390
chr1,37042371,37043393,SE,1.9602,0.4447,0.3945,0.3904,8.9402,6.83,2.8067,8.7397,14.5615,7.8129,6.8398,4.2846,1.2982,1.138,1.7326,1.4059,1.9578,1.5453,0.8344,4.6308,5.7311,10.6872,12.3782,6.1402,0.887,7.6993,2.5768,1.3088,19.9134,7.8546,1.1822,0.508806,0.491194,0.0618884,0.0618894,0.346379648,1022
chr1,37043480,37044320,SE,3.2233,1.0211,0.4511,0,5.3726,2.0735,1.4623,3.7799,4.6339,1.9692,9.4887,1.1681,0.7308,0.5085,0.5468,0.536,1.3719,0.4681,0.3705,2.6873,0.5051,0.7421,0.2114,2.1394,0.4637,0.8007,0.9953,0.3484,0.2669,1.831,0,0.52619,0.47381,0.15432,0.154325,0.714285714,840
chr1,37044340,37045411,SE,3.0017,1.5932,0.4492,0,5.3883,3.8551,2.1101,2.8478,3.0963,2.4763,4.6993,2.4305,0.585,0.3804,0.7349,1.6573,1.392,1.2219,0.6554,1.5832,2.1919,2.6158,3.7049,2.9203,1.3945,1.2935,1.6793,0.3381,1.1443,0.6723,0.8225,0.545285,0.454715,0.101831,0.101834,0.426704015,1071
chr1,72260528,72261272,SE,4.7939,1.1311,0.2425,0.4207,1.7053,1.3161,1.3384,2.599,4.9166,1.325,2.9187,1.6198,1.1954,0.3434,0.5922,1.299,1.6314,1.1347,0.7601,1.7349,1.2054,1.6118,2.6249,0.8308,0.0696,1.0515,4.2964,1.9332,4.0131,0.8897,1.1757,0.513441,0.486559,0.0774646,0.0774666,0.400537634,744
chr1,72839563,72840296,SE,0.0086,0.8521,0,0,0.3868,0.3735,0.0516,0.3853,0.5908,0.7579,0,0.3474,0.8856,0.1222,0.118,0.3896,0.4866,0.7293,0.3879,1.676,0.6535,2.4707,4.7759,0.8873,0,0,2.0019,0.2822,0.6614,0.4196,0.4932,0.583902,0.416098,0.284773,0.284773,0.826739427,733
chr1,72852241,72853381,SE,3.4523,0.6716,0.9415,0.0382,3.5594,1.3973,2.2448,5.2816,7.3674,2.7466,6.5784,2.4012,0.9599,0.9777,0.737,1.0501,1.5649,0.8677,0.6132,2.0522,0.7417,1.1654,1.2166,1.527,0.2465,0.7877,0.7986,0.3226,4.3508,0.7849,0,0.471053,0.528947,0.179076,0.189037,0.094736842,1140
chr1,72857535,72858199,SE,0,0.2017,0,0,0.1326,0.0983,0.3214,0.0411,0,0.4786,0.1646,0.341,0,0.1286,0,0.4016,0.1577,0.3377,0.0293,0.6748,0.556,0.7773,2.4239,0.145,0.054,0,0.8548,0.5131,4.7853,0.121,0.361,0.537651,0.462349,0.0658528,0.0658528,0.811746988,664
chr1,84857219,84857928,SE,1.6928,1.9349,0.1912,0,6.7001,3.4359,3.0677,4.2826,6.08,6.026,2.6052,3.7789,0.7,0.7966,1.2556,1.7785,2.8604,1.03,1.0173,3.944,1.4994,1.4329,2.6991,3.5445,1.4352,0.2131,11.4843,0.9188,5.4707,0.4637,1.6064,0.520451,0.479549,0.122597,0.1226,0.262341326,709
chr1,84863217,84864024,SE,1.6451,1.131,0,0.2119,2.216,0.3541,0.6038,0.7401,1.0656,0,0.4811,0.6565,0.7609,0.2312,0.1898,1.1163,0.6388,0.412,0.2369,2.2744,0.4668,1.0441,1.1374,0.1135,0.1001,0.5927,0.3167,0.0404,3.452,0,1.3437,0.49938,0.50062,0.149107,0.149107,0.520446097,807
chr1,84868305,84869458,SE,0.9477,0.8792,0.0329,0,1.6923,1.401,1.6477,0.8522,2.6154,2.7704,0.8989,2.0883,1.0055,0.3761,0.5564,1.2565,2.2404,0.9807,0.6413,1.8395,1.6058,1.7633,3.3413,1.8,0.0713,2.0239,4.1877,0.4029,32.0231,0.3775,0.568,0.539462,0.460538,0.223519,0.21927,0.187337381,1153
chr1,84878604,84879300,SE,0.2458,1.2091,0,0,1.0569,0.6279,0.6135,0.7295,1.3798,1.4163,0.0048,1.0443,0.4199,0,0.009,0.8885,1.9403,0.5392,0.34,0.9767,0.5778,0.854,1.0153,0.8212,0,0.1055,0.2229,0,0.9677,0,0.2281,0.518678,0.481322,0.0356395,0.0356395,0.412356322,696
chr1,84886218,84887132,SE,0.8649,1.3132,0,0,0.9393,0.7257,0.2206,0.4972,1.6468,0.5861,0.4715,0.5403,0,0,0,0.6792,1.0504,0.4649,0.819,0.8326,1.4715,0.6277,1.0635,0.3483,0,0,0.0535,0,1.0175,0,0.7424,0.554705,0.445295,0.134318,0.134322,0.249452954,914
chr1,91766947,91767819,SE,1.4654,0.3557,0.4139,0.2407,6.0442,3.2464,1.289,5.0259,5.4413,2.695,0.4135,1.6481,1.6188,1.0076,0.8503,1.205,2.2206,1.1427,0.7915,2.7975,0.6904,1.7247,3.057,2.5607,0.858,0.8149,0.9242,0.7843,4.4127,0.8592,0.4636,0.494266,0.505734,0.401655,0.409016,0.038990826,872
chr1,91772864,91773527,SE,0.7508,0.9143,0.2488,0,3.1952,1.2535,1.282,1.8052,1.7615,0.5261,0.3782,1.3991,0.3058,0.2396,0.5528,1.3574,2.1526,1.1466,0.9171,1.3701,2.9883,1.7653,0.924,0.8939,0.2027,0.9153,0.9303,0.8658,1.6934,1.2886,0.0874,0.535445,0.464555,0.0394,0.0339067,0,663
chr1,120538712,120539858,SE,1.4756,1.2167,0.1375,0.222,1.4867,0.9967,0.9013,0.9862,2.2446,2.8631,0.6707,1.6981,1.0721,0.5903,0.5448,1.0511,1.1298,0.5201,0.2387,2.2135,0.5024,0.7105,1.4808,0.6093,0.445,0.331,10.1031,0.3001,3.5293,0.4049,0.6662,0.527051,0.472949,0.137864,0.141691,0.448516579,1146
chr1,120542039,120542868,SE,2.5924,1.861,0,0,2.0959,1.1298,1.0105,1.9238,6.4546,1.0681,0.8307,1.7473,1.2209,0.4222,0.5298,1.1466,0.8624,1.0703,0.532,1.2276,0.7526,0.5106,0.8625,1.1769,0.1354,0.2567,0.6113,0.2239,6.6559,4.1993,0.1746,0.53076,0.46924,0.169936,0.16994,0.509047045,829
chr1,120544250,120545414,SE,2.2147,1.0673,0.1759,0.133,3.5992,3.1866,2.3981,5.3626,9.8085,6.0893,3.5609,2.9406,1.3405,0.823,0.734,0.7826,1.1365,1.0935,0.6124,1.8886,2.0039,2.3971,1.4701,3.9462,0.5625,1.2725,6.5493,1.0381,14.3066,0.8527,0.1213,0.510309,0.489691,0.0849478,0.0849478,0.158075601,1164
chr1,120971968,120973737,SE,2.8749,0.5322,0.4166,0.0119,2.8401,3.0822,1.9043,3.8104,4.4104,5.8719,1.5466,3.3953,1.1708,0.9093,1.1437,1.5821,1.6817,1.446,0.9916,4.8703,2.0718,1.7598,3.8407,3.3547,1.4456,2.0404,11.3079,2.3548,6.0986,4.6244,1.662,0.492369,0.507631,0.156037,0.147282,0.427925382,1769
chr1,121201424,121202481,SE,0.9238,0.9632,0,0,2.5477,3.4438,1.666,5.0459,7.5325,3.1852,0,4.0251,0.9887,1.5217,1.4148,0.6408,1.5378,1.5894,0.6162,3.7108,1.2699,1.3523,4.1442,2.7057,0.2458,2.9609,14.5466,0.8321,47.0881,1.263,1.1896,0.483444,0.516556,0.208647,0.202882,0.317880795,1057
chr1,121295085,121296031,SE,0.7207,0.3607,0,0.0204,5.2286,6.2858,2.2527,4.7994,5.2502,7.086,0,3.1914,0.6979,0.7314,1.1007,1.4438,1.8902,0.9241,0.8855,4.1947,1.6175,1.4041,3.8941,2.9367,1.0688,0.1926,5.4554,1.0427,22.4227,5.3937,0.7046,0.520085,0.479915,0.116337,0.116339,0.488372093,946
chr1,137071028,137071701,SE,0.4504,1.2564,0,0,0.7226,0.7012,1.1631,1.3768,1.2121,1.6617,0.1597,1.5509,0.1036,0.5523,0.4262,1.1777,0.4612,0.4777,0.3123,0.0508,1.8688,1.0267,1.1843,1.065,0.202,0.9133,0,0.0942,0.0021,0.2674,0,0.549777,0.450223,0.0885238,0.0885253,0.334323923,673
chr1,137082347,137083206,SE,1.2647,0.8359,0.1221,0,1.7606,1.072,1.6142,1.3135,0.6612,1.5977,0.4564,1.5756,0.6317,0.4672,0.4338,1.0389,1.2816,1.5497,0.3939,1.5454,1.8445,1.111,1.5196,1.0932,0.1502,2.1238,6.1583,0.3716,6.3173,0.2669,1.3872,0.507567,0.492433,0.0766558,0.0766558,0,859
chr1,137094854,137096284,SE,4.6759,0.5389,1.0537,0,1.4868,0.7371,1.5644,2.4015,4.1021,1.9293,0.3421,2.5991,1.0583,1.2899,0.7687,1.22,1.1888,0.9295,0.6656,2.4569,1.0607,1.646,1.4302,1.6199,0,1.9155,1.1402,1.98,37.0716,1.4018,0.5738,0.467133,0.532867,0.184534,0.18733,0.076923077,1430
chr1,138586629,138587185,SE,0.2933,0.8799,0,0.5047,6.2328,1.57,1.0637,4.47,8.0203,2.0398,0.4173,1.2538,2.0163,0.913,0.5639,1.5425,2.4404,1.7179,0.8113,1.4052,0.9131,0.6205,1.0845,0.7381,0,0.7136,0.0588,0.1737,1.6055,0.3656,0,0.546763,0.453237,0.206399,0.206402,0.902877698,556
chr1,138591254,138592054,SE,2.1996,1.2911,0.3371,0,3.9583,1.5129,0.8774,3.0538,3.4792,1.0611,2.114,1.0746,1.3239,0.7235,0.4511,1.0855,1.2538,0.6674,0.3571,2.3195,0.6102,0.5033,1.7905,0.7859,0.0774,3.883,2.1261,1.8981,3.8213,0.2892,0.7494,0.5275,0.4725,0.0166132,0.0166132,0.27625,800
chr1,138592293,138593131,SE,2.6361,0,2.0845,0,8.0323,2.6044,2.0206,8.3402,12.5376,4.5314,5.5957,4.2119,3.1585,1.603,1.0823,1.7311,2.627,2.48,1.5087,3.3105,0.8492,0.6279,2.247,1.5458,0.303,1.7805,2.311,2.0972,6.6488,5.1867,0.4306,0.50358,0.49642,0.0327884,0.0327884,0,838
chr1,138841643,138842570,SE,0,1.5689,0.1905,0,0.382,0.3699,0.5138,0.1298,0,0.3555,0,0.7484,0.2754,0.099,0.1532,0.5329,1.1142,0.2281,0.2643,0.4038,0.9166,0.5235,2.2973,0.1995,0.0993,0.4496,0,0.1493,0.6876,0.3028,0.0447,0.605178,0.394822,0.17517,0.139452,0,927
chr1,138847583,138848433,SE,0.6339,0.9938,0.6105,0,1.0859,1.1717,0.7659,1.1733,0.8036,1.6789,0,2.0056,0,0.1804,0.45,0.594,0.9837,0.6496,0.2952,0.6493,1.1075,1.1117,1.9626,0.7492,0.0276,1.1553,2.7348,0.3586,1.3148,0.8179,0.2936,0.514118,0.485882,0.0551487,0.0551494,0.268235294,850
chr1,138849067,138850970,SE,4.2866,0.1439,3.9699,0.2574,1.5119,1.4561,1.0998,1.4734,2.414,3.1675,0.6722,1.417,1.0492,0.4857,0.5511,0.7291,1.4607,1.5521,0.6784,2.2244,1.3087,1.6882,1.9434,1.7849,0.461,0.7974,4.0867,1.1294,4.6153,0.0492,0.1675,0.503941,0.496059,0.167858,0.158934,0.045191802,1903
chr1,154939892,154939896,SE,2.9177,2.2763,0,0,0.8189,0,0,0.2792,0.1884,0,1.5694,0.0897,0.5567,0.5561,0.3467,0.1376,0.7002,0,0.1333,0.6479,0.0391,0.0173,0,0,0,0,1.3371,0.4938,1.3731,0,0,0.5,0.5,0.00225,0.00225,1,4
chr1,154939988,154940954,SE,3.0656,0.8284,1.1624,0,3.9616,1.3137,1.3893,1.5875,3.0161,0.7373,5.2874,2.1206,0.7984,0.6087,0.3861,1.151,1.0314,0.7523,0.4652,3.19,2.1211,2.2666,2.2781,0.788,0.1508,0.9384,0.5626,0.7788,23.8045,0,0,0.501035,0.498965,0.0168223,0.0168202,0.130434783,966
chr1,154942077,154943709,SE,3.0831,0.6854,0.7475,0,4.0892,2.819,1.7104,3.7149,5.1044,2.6054,2.9313,2.1334,0.2888,0.6157,0.6857,0.7625,2.0209,1.2046,0.8627,2.1413,2.0029,1.8789,2.1872,2.2959,0.9009,3.6174,1.5558,0.4436,1.988,0,0.3624,0.510417,0.489583,0.0711446,0.0711453,0.366421569,1632
chr1,168054897,168055983,SE,1.6213,0.6452,0,0.2019,9.5354,3.8404,2.0105,5.2687,3.4971,5.6818,4.7417,2.8072,1.2036,0.4814,0.7268,0.8227,1.7415,1.2177,0.5091,5.7302,2.3622,2.1153,2.1579,3.2497,1.8024,1.9937,0.7905,0.7134,1.7331,1.0752,0.8892,0.515654,0.484346,0.0272465,0.0310494,0.419889503,1086
chr1,168065148,168065991,SE,2.2171,0.4445,0.187,0.366,4.6177,0.7558,0.7798,0.922,1.7718,1.7599,0.7736,1.2489,0.6614,0.1312,0.2616,0.2362,0.9223,0,0,1.2031,2.2006,0.5818,0.9451,0.4554,0,0.1077,2.7242,0.619,0.4125,1.0018,0.061,0.47331,0.52669,0.0620146,0.0620156,0.177935943,843
chr1,168072277,168073079,SE,0.4529,0.6913,0,0.3475,3.1531,1.0872,0.8744,1.4274,0.7833,1.3378,0.7462,1.3169,1.0542,0.1365,0.4373,1.24,1.08,0.71,0.5711,2.0749,1.7934,1.4749,4.7142,1.5939,0.2517,0.9188,1.6575,0.7787,1.7952,0.1772,0.1937,0.55611,0.44389,0.0227637,0.0227637,0,802
chr1,169201106,169201873,SE,1.8342,0.8199,1.3143,0.5738,0.7797,0.6878,0.7458,1.5732,0.6067,0.9386,0.5591,1.149,0.4432,0.5667,0.4303,0.7669,0.7535,0.3641,0.8714,1.1446,0.5743,0.7196,2.0232,0.3338,0.246,1.1661,1.0972,0.5919,6.4658,3.4696,0,0.504563,0.495437,0.156516,0.156516,0.119947849,767
chr1,169209346,169209861,SE,1.6223,0.4184,0.2752,0,0.441,1.2713,0.4381,1.6581,1.1137,1.8675,0.037,1.898,0.3885,0.6427,0.7543,0.2403,0.5858,0.2158,0.5065,0.2279,1.069,1.2984,1.6331,0.9225,1.0234,0.8941,1.5239,0.6934,1.9227,0,0,0.483495,0.516505,0.0953379,0.0953379,0.139805825,515
chr1,169212040,169212737,SE,0.3849,0.7519,0.5018,0,0.4058,0.6055,1.1151,0.6745,0.3109,0.7515,0.003,1.3576,0.9114,0.0882,0.3099,0.6433,1.0337,0.5297,0.6883,0.2755,1.1949,0.846,1.3055,0.4854,0,0.4262,1.492,0.501,0.9716,0.3284,0,0.536585,0.463415,0.0366069,0.0319354,0,697
chr1,169219450,169220423,SE,1.0997,0.6611,0.9509,0,0.9245,0.8191,0.6599,0.9819,2.008,1.5956,0.2082,1.745,1.0909,0.8314,0.5257,0.9953,1.3626,0.8662,0.6351,1.6104,0.6586,0.9288,0.5684,0.4537,0.293,0.4808,4.8384,0.6378,4.5777,0.0329,0.2085,0.487153,0.512847,0.21601,0.21601,0.115107914,973
chr1,182818684,182819554,SE,3.0137,0.0612,0.4924,0,6.6926,10.8919,3.268,17.0901,15.3999,20.1205,5.8476,5.3044,1.9242,1.2593,2.8853,1.2641,2.7157,1.4403,0.5435,4.6467,4.848,3.091,6.5893,22.3446,0.829,2.2257,3.196,2.8789,3.0775,0.2808,0.1841,0.465517,0.534483,0.0919844,0.103149,0,870
chr1,182854521,182855608,SE,2.2307,1.3482,0.1195,0,5.3527,5.1666,1.7654,10.8535,13.84,13.6146,3.751,4.6846,0.5025,1.0342,2.0902,1.3715,2.4953,1.4221,0.3393,2.5416,3.8243,5.8696,11.3848,15.763,0.1326,1.7515,3.2559,0.8694,1.0607,0.9908,0.4425,0.475621,0.524379,0.151265,0.151265,0,1087
chr1,182863625,182864307,SE,1.2491,1.2223,0.5711,0,2.511,1.554,1.3018,4.0008,8.0084,3.0105,1.0804,1.7295,0.9027,0.2915,0.8899,0.5769,1.6567,0.5953,0,0.7055,4.3591,1.6965,0.6256,5.0044,0,1.6593,1.0042,0,0.0737,0.3256,0.0912,0.485337,0.514663,0.0628136,0.0628136,0,682
chr1,183948212,183949027,SE,0.8268,0,6.1696,0.2548,0.9305,1.204,0.6729,0.849,0.2925,0.2168,2.5298,0.6726,0,0.2043,0.2704,0.9496,0.7368,0.4366,0.3918,0.4811,1.2163,0.7116,1.7932,0.1515,0.1575,0.7968,0.067,0.1599,0.3154,0.2521,0.2249,0.61227,0.38773,0.621699,0.599132,0,815
chr1,183959983,183961151,SE,2.1362,0.334,0.5068,0,4.9254,4.1899,1.8772,5.9233,6.8117,6.0486,3.1951,2.6601,1.4312,0.8316,0.9004,1.415,1.6865,1.5147,0.8035,3.3499,3.5018,5.0896,6.1363,2.5326,0.5652,0.9855,3.865,1.0175,2.5796,0.3607,0.3793,0.52911,0.47089,0.099654,0.0996549,0.496575342,1168
chr1,183961213,183961841,SE,2.9525,0.5941,0.19,0.1848,2.2762,2.0666,1.1746,2.6729,0.9284,2.6601,1.7004,1.2107,0.662,0.1751,0.1819,0.6007,0.6522,0.8929,0.2209,1.3605,0.9788,0.8653,2.8868,1.5298,0.4293,0.1784,0.8989,1.169,1.3783,0.5283,0,0.562102,0.437898,0.170073,0.0927562,0.425159236,628
chr2,20574602,20575417,SE,1.1933,0.6856,0.4785,0.0175,4.8133,2.1318,1.6071,3.052,1.6065,3.3427,2.6906,1.7229,0.752,0.6204,0.696,1.563,2.4692,1.2697,0.6653,0.6233,2.69,1.6599,2.5674,2.0208,0,12.4302,1.3126,0,2.5981,0.2738,0.2194,0.570552,0.429448,0.0469448,0.0469448,0,815
chr2,20576153,20577587,SE,1.915,1.7987,0.976,0.0956,6.7247,3.3649,2.2451,4.5951,4.5385,3.0895,3.2179,2.24,1.7856,0.7836,0.9274,2.0289,3.7498,1.3354,1.0535,2.829,3.0396,2.6174,3.2464,2.9378,0.1825,2.6422,1.0924,0.6369,3.1212,1.1311,0.2131,0.562761,0.437238,0.0341436,0.0341508,0.056485356,1434
chr2,20587019,20587660,SE,2.1393,1.2936,0.089,0,7.4648,3.1608,1.6011,5.3754,8.4419,1.1365,2.5867,1.6538,0.6949,1.0198,0.4958,0.8944,1.6834,2.0294,0.4062,2.2602,0.6845,1.0723,0.556,1.3367,0,0.5442,0.2284,0,1.4594,0.0437,0.0556,0.4883,0.5117,0.0913421,0.109924,0.034321373,641
chr2,20590756,20591747,SE,3.4418,1.1907,0.5262,0.5999,10.6546,5.0842,3.0651,9.371,1.7463,4.3563,6.7313,1.74,0.9336,0.4363,0.686,0.8762,1.64,0.2859,0,2.7951,1.3247,1.5459,0.9976,1.3895,1.2386,0.3479,2.0251,0.5813,6.2555,0.8263,0.7002,0.528759,0.471241,0.0518449,0.0518475,0.43592331,991
chr2,30913257,30913848,SE,1.2805,0.517,0.0915,0,0.6026,0.3519,0.5403,0.8452,0.7478,0.1685,0.0658,0.8431,0.1193,0.6586,0.2467,0.7483,0.6626,0.4148,0.7127,0.4849,0.6242,1.1825,1.116,0.1551,0.0462,0.1875,0.4109,0,0.4296,0.0193,1.4075,0.49577,0.50423,0.0270411,0.0270427,0.414551607,591
chr2,30915672,30916908,SE,3.5603,0.4754,1.7825,0,1.201,0.7285,1.0923,0.9547,1.6339,1.9895,0.0957,1.0943,0.6533,0.461,0.3709,0.6909,1.3453,0.7271,0.9714,1.1315,1.137,0.5349,0.5574,0.4386,0,0.0991,0.6083,0.5518,0.7183,0.3339,0,0.5089,0.4911,0.0841212,0.0767678,0.533171521,1236
chr2,30923903,30925299,SE,4.0793,1.0094,0.8107,0.031,2.3817,1.6541,1.5225,2.1255,1.9425,2.2095,0.8966,1.5611,1.1683,0.5599,0.601,1.4992,1.8062,0.9844,0.8858,1.3819,1.3494,1.172,1.2922,1.599,0.347,0.8693,2.8678,0.455,5.4503,0.7032,0.0904,0.50788,0.49212,0.240177,0.241038,0.320200573,1396
chr2,32008891,32009744,SE,1.2729,0.194,1.6769,0,0.2986,0.7402,0.6389,0.7103,0.3261,0.4996,0.048,0.638,0.4485,0.3412,0.2806,0.2913,0.7923,0.3312,0.4301,0.4106,0.6595,0.9016,2.0663,0.0702,0,0.213,0,0.0028,2.612,11.6685,0.3618,0.515827,0.484174,0.170436,0.185922,0.123094959,853
chr2,32017573,32018776,SE,4.1313,0.7483,0.4456,0,3.1675,2.2179,2.7165,5.3915,9.8914,4.1993,4.4469,3.5856,1.7061,1.0042,1.0084,1.1774,1.2932,0.3724,0.4703,1.0361,0.9794,1.3312,1.1884,1.8375,0.4661,0.4029,0.6769,1.3139,0.4613,0.9873,0,0.494597,0.505403,0.093817,0.0938194,0.383208645,1203
chr2,32029668,32030736,SE,6.3515,0.4441,0.684,0,2.058,2.1479,1.4468,6.795,9.0544,4.5528,2.362,2.747,1.5023,1.1578,0.915,0.58,1.6133,0.8125,0.5365,0.7152,1.1275,1.1465,1.2856,3.7022,0.2053,0.562,2.5299,0.7442,0.8461,11.9864,0.0355,0.451311,0.548689,0.072542,0.0665392,0,1068
