enhancer_constituent_id,chrom,start,end,Class,Esrrb,Klf4,4-Oct,Sox2,Nanog,OSN,Stat3,Smad3,Tcf3,Prdm14,Tcfcp2I1,Nr5a2,Med1,H3K27ac,H3K4me1,H3K4me3,H3K9me3,Med12,p300,Pol2,CBP,Lsd1,Brg1,Brd4,Smc1,Nipbl,Mi2b,CHD7,HDAC2,HDAC,Dnase,Tbx3,Smad1,Kap1,Ronin,Zfx,CTCF,Tfe3,cMyc,CDK8,CDK9,pct_AT,pct_GC,phastCon_verti,phastCon_placental,phasCong_Average,Ell3,TET1,Aff4,Ring1B,CapH2,REST,Utx,Ell2,SA2,TBP,CTR9,Spt5,BioYY1,SA1,Rad21,MCAF1,SetDB1,Smc3,TET2,Wdr5,NcoA3,Atrx
INT_STITCHED_100_0,chr1,36070190,36071796,SE,2.969,1.2198,1.3931,1.1185,2.146,1.552533333,0.2713,1.3229,1.0715,2.257,1.3607,0.5251,2.1442,3.8644,0.9178,0.3916,0.0797,3.2412,5.5663,1.6666,3.2185,1.9353,1.6483,3.028,0.8857,0.5732,1.2912,1.5475,1.3231,0.7099,2.2972,0.2036,0.4673,0.1658,0.1811,1.0218,0,0.0712,0.0234,1.9163,1.2253,0.514944,0.485056,0.13112,0.131122,0.131121,0.8159,0.5425,1.443,0.3187,1.0416,0.3465,0.5608,11.5966,0.9149,0.7098,0.8676,0.5623,0.0252,0.4183,0.3326,0.4998,0.6511,0.4502,0.3674,0.3048,0.2862,0
INT_STITCHED_100_1,chr1,36073779,36074608,SE,0,0.6519,0.7427,0.7921,0.6771,0.7373,0,1.6661,0.3817,0.9521,0.3021,0.0537,1.9419,2.3951,1.2342,0.2821,0,2.0978,6.1742,1.6765,4.6346,1.1563,0.8158,4.8668,0.634,0.5484,0.8401,1.7611,0.3808,0.6929,2.2937,0.0854,0.1187,0.1266,0.3373,0.1967,0,0,0,1.9983,0.8225,0.500603,0.499397,0.155842,0.155843,0.1558425,0.973,0.0545,1.223,0.3372,0.724,0.033,0.1858,10.3425,1.008,0.8217,0.4082,0.3964,0,0.3989,0,0.0573,0.1757,0.0042,0.7853,0.0721,0,0.2109
INT_STITCHED_101_0,chr1,36111164,36111952,SE,5.8054,1.497,0.6932,0.8128,1.1479,0.884633333,0.1387,1.7946,0.2638,1.5813,1.4116,1.2836,2.2204,1.4248,1.2409,0.1417,0,2.7515,4.4923,0.3856,2.9366,2.352,0.8941,2.3539,0.7748,0.8403,1.6178,1.2387,1.2571,0.3781,1.1915,0.0819,0.0453,0.1632,0.1305,0.8677,0,0.0263,0,1.887,1.4067,0.571066,0.428934,0.164677,0.164679,0.164678,0.6661,0.4617,0.2551,0.1228,0.3346,0.2143,0.2795,13.9017,0.5986,0.4322,0.3021,0.2217,0,0,0.0415,0.2116,0.4628,0.1491,0.1413,0.1975,0.0952,0.1304
INT_STITCHED_101_1,chr1,36116855,36118698,SE,1.5159,0.9182,1.9525,1.9971,2.382,2.110533333,0.2834,4.4138,0.6749,5.2028,12.438,0.2592,2.9951,4.0029,1.1665,0.1644,0,3.8689,9.7219,3.6817,5.3646,3.0501,1.0119,2.9642,0.7715,0.6527,1.2608,1.3923,1.1687,0.8452,2.9934,0.3724,0.1504,0.241,0.3934,1.0783,0,0,0,3.0958,1.9341,0.497558,0.502442,0.202701,0.202703,0.202702,1.0355,1.2832,0.8399,0.2844,0.927,0.6093,0.4801,17.5313,0.8038,0.8539,0.4394,0.7161,0.1882,0.8673,0.1613,0.1819,0.2891,0.0494,0.039,0.0622,0,0.0432
INT_STITCHED_108_0,chr1,37039139,37039872,SE,0.0797,0.0199,2.1838,0.5653,1.4529,1.400666667,0,0,2.2992,0.0896,0,0.0604,1.1988,0.6913,1.2687,0,0,0.8115,1.5333,1.9134,0.2124,2.1548,0.2521,3.2399,0.3181,0.199,0.5158,0.6858,0.1705,0,3.0757,0.0414,0,0.1514,0.246,0.7851,0,0,0,1.6013,0.7948,0.52251,0.47749,0.0714779,0.0714779,0.0714779,1.0439,2.9947,0.4066,0,0.9199,0,0.2951,10.1247,0.1428,0.4776,0,0.7142,0,0.0663,0.7025,0,0,0,0,0,0.2616,0.2264
INT_STITCHED_108_1,chr1,37040357,37041747,SE,0.7293,0.5,0.9474,0.4898,1.3504,0.9292,0.2274,1.2914,1.1433,1.6607,0.1144,0.7715,3.2035,2.3083,1.5819,0,0,2.8522,3.9122,3.7526,2.9055,1.423,0.4966,4.546,0.3599,0.4917,0.8115,0.8907,0.2402,0.2185,2.3454,0.3498,0,0.1276,0.0289,0,0,0.0283,0.0457,2.5895,1.5706,0.505755,0.494245,0.0557724,0.0557729,0.05577265,0.485,1.4254,1.0573,0.1516,1.5884,0.3581,0.2088,12.0799,0.6745,1.1842,0.2225,0.264,0.1152,0.8195,0.5211,0.0563,0.0934,0,0,0,0,0.1707
INT_STITCHED_108_2,chr1,37042371,37043393,SE,2.5768,1.3088,5.7311,10.6872,12.3782,9.598833333,0.887,6.1402,7.6993,19.9134,7.8546,1.1822,7.0616,1.9602,0.4447,0.3945,0.3904,8.7397,14.5615,6.8398,7.8129,4.2846,1.2982,8.9402,1.138,1.7326,1.4059,1.9578,1.5453,0.8344,4.6308,0.5122,0.9137,0.1574,0.4313,0.4705,0,0,0.0713,6.83,2.8067,0.508806,0.491194,0.0618884,0.0618894,0.0618889,1.137,1.3631,2.5716,0.9596,3.7478,1.9328,1.0538,18.3432,0.6533,2.3336,1.1194,0.6704,0.8071,1.9581,0,0.7357,0.9583,0.9112,0.265,0.4278,0.1083,0.3314
INT_STITCHED_108_3,chr1,37043480,37044320,SE,0.9953,0.3484,0.5051,0.7421,0.2114,0.4862,0.4637,2.1394,0.8007,0.2669,1.831,0,2.9425,3.2233,1.0211,0.4511,0,3.7799,4.6339,9.4887,1.9692,1.1681,0.7308,5.3726,0.5085,0.5468,0.536,1.3719,0.4681,0.3705,2.6873,0.0854,0,0.1646,0.207,0.5614,0,0.1226,0,2.0735,1.4623,0.52619,0.47381,0.15432,0.154325,0.1543225,0.6293,1.157,0.6153,0.3445,3.0748,0.3279,0.1441,11.5506,0.7708,1.0528,0.1628,0.3433,0.2362,2.9634,0.2153,0.1049,0.0537,0.0947,0,0.0876,0,0.074
INT_STITCHED_108_4,chr1,37044340,37045411,SE,1.6793,0.3381,2.1919,2.6158,3.7049,2.837533333,1.3945,2.9203,1.2935,1.1443,0.6723,0.8225,2.6095,3.0017,1.5932,0.4492,0,2.8478,3.0963,4.6993,2.4763,2.4305,0.585,5.3883,0.3804,0.7349,1.6573,1.392,1.2219,0.6554,1.5832,0.0824,0.5342,0.1209,0.0018,0.468,0,0,0.3695,3.8551,2.1101,0.545285,0.454715,0.101831,0.101834,0.1018325,1.0063,1.0949,0.571,0.433,1.1704,0.1664,0.3907,10.9035,0.5327,0.8838,0.4095,0.4596,0.4743,1.122,1.0776,0.2522,0.3613,0.2198,0.41,0.2732,0,0
INT_STITCHED_230_0,chr1,72260528,72261272,SE,4.2964,1.9332,1.2054,1.6118,2.6249,1.814033333,0.0696,0.8308,1.0515,4.0131,0.8897,1.1757,9.4862,4.7939,1.1311,0.2425,0.4207,2.599,4.9166,2.9187,1.325,1.6198,1.1954,1.7053,0.3434,0.5922,1.299,1.6314,1.1347,0.7601,1.7349,0.2348,0.7808,0.1123,0.9303,1.6125,0,0,0,1.3161,1.3384,0.513441,0.486559,0.0774646,0.0774666,0.0774656,1.1265,0.097,0.6812,0.3307,0.8493,0.3382,0.5481,12.8825,1.076,0.6372,0,0.3222,0.5001,0.4123,0.5245,0,0.0368,0,0.5124,0,0.4315,0.2982
INT_STITCHED_237_0,chr1,72839563,72840296,SE,2.0019,0.2822,0.6535,2.4707,4.7759,2.633366667,0,0.8873,0,0.6614,0.4196,0.4932,0.314,0.0086,0.8521,0,0,0.3853,0.5908,0,0.7579,0.3474,0.8856,0.3868,0.1222,0.118,0.3896,0.4866,0.7293,0.3879,1.676,0.1609,0.0569,0.1377,0,0.0029,0,0,0,0.3735,0.0516,0.583902,0.416098,0.284773,0.284773,0.284773,0.4996,0,0,0,0,0,0,3.8627,1.1315,0,0,0,0,0,0.0222,0,0,0,0.021,0,0,0
INT_STITCHED_237_1,chr1,72852241,72853381,SE,0.7986,0.3226,0.7417,1.1654,1.2166,1.041233333,0.2465,1.527,0.7877,4.3508,0.7849,0,6.2441,3.4523,0.6716,0.9415,0.0382,5.2816,7.3674,6.5784,2.7466,2.4012,0.9599,3.5594,0.9777,0.737,1.0501,1.5649,0.8677,0.6132,2.0522,0.2256,0,0.1753,0.3298,0.5166,0,0.1363,0,1.3973,2.2448,0.471053,0.528947,0.179076,0.189037,0.1840565,0.9272,5.4344,1.2334,0.2685,1.0077,0.9314,0.2657,22.5635,0.2173,1.6799,0.6992,1.453,0.7081,1.8067,0.5807,0.2826,0.2817,0.439,0.328,0.1853,0.2506,0.136
INT_STITCHED_237_2,chr1,72857535,72858199,SE,0.8548,0.5131,0.556,0.7773,2.4239,1.2524,0.054,0.145,0,4.7853,0.121,0.361,0.2781,0,0.2017,0,0,0.0411,0,0.1646,0.4786,0.341,0,0.1326,0.1286,0,0.4016,0.1577,0.3377,0.0293,0.6748,0.5006,0.034,0.2042,0.0893,0.1424,0,0,0,0.0983,0.3214,0.537651,0.462349,0.0658528,0.0658528,0.0658528,0.2726,0.2365,0.0151,0.0729,0,0,0.0222,7.3611,0.0831,0,0,0.0346,0.028,0.096,0.0616,0.018,0.069,0.1774,0.2633,0.124,0,0
INT_STITCHED_282_0,chr1,84857219,84857928,SE,11.4843,0.9188,1.4994,1.4329,2.6991,1.877133333,1.4352,3.5445,0.2131,5.4707,0.4637,1.6064,10.6591,1.6928,1.9349,0.1912,0,4.2826,6.08,2.6052,6.026,3.7789,0.7,6.7001,0.7966,1.2556,1.7785,2.8604,1.03,1.0173,3.944,0.2898,0.7188,0.1734,0.449,0.7342,0,0,0,3.4359,3.0677,0.520451,0.479549,0.122597,0.1226,0.1225985,1.0719,0.9614,0.7289,0.4186,1.5742,0.3108,0.3263,18.9024,1.7107,0.5492,0.428,0.3737,0,0.2902,0.5263,0.158,0.1814,0,0.2443,0,0.2212,0.1828
INT_STITCHED_282_1,chr1,84863217,84864024,SE,0.3167,0.0404,0.4668,1.0441,1.1374,0.882766667,0.1001,0.1135,0.5927,3.452,0,1.3437,0.5082,1.6451,1.131,0,0.2119,0.7401,1.0656,0.4811,0,0.6565,0.7609,2.216,0.2312,0.1898,1.1163,0.6388,0.412,0.2369,2.2744,0,0.1747,0.2952,0.3645,0.9563,1.5499,0,0,0.3541,0.6038,0.49938,0.50062,0.149107,0.149107,0.149107,0.9079,0.1493,1.0794,0.1322,0.1044,0.0569,0.1096,9.4698,0.3113,0.1014,0.5208,0.087,0,0.0799,0,0.4604,0.3945,0.0665,0,0.4056,0.1241,0.2903
INT_STITCHED_282_2,chr1,84868305,84869458,SE,4.1877,0.4029,1.6058,1.7633,3.3413,2.2368,0.0713,1.8,2.0239,32.0231,0.3775,0.568,2.1926,0.9477,0.8792,0.0329,0,0.8522,2.6154,0.8989,2.7704,2.0883,1.0055,1.6923,0.3761,0.5564,1.2565,2.2404,0.9807,0.6413,1.8395,0.1654,0.1314,0.2021,0.2244,0.7722,0,0.0291,0,1.401,1.6477,0.539462,0.460538,0.223519,0.21927,0.2213945,0.6265,1.2131,0.4257,0.5415,0.4234,0.1325,0.4959,12.9639,0.8954,0.5817,0.2023,0.1442,0.2866,0.0409,0,0.0142,0.0697,0.0797,0,0.0465,0,0.0782
INT_STITCHED_282_3,chr1,84878604,84879300,SE,0.2229,0,0.5778,0.854,1.0153,0.8157,0,0.8212,0.1055,0.9677,0,0.2281,0.4698,0.2458,1.2091,0,0,0.7295,1.3798,0.0048,1.4163,1.0443,0.4199,1.0569,0,0.009,0.8885,1.9403,0.5392,0.34,0.9767,0.2844,0,0.165,0.0735,0.0511,0,0,0,0.6279,0.6135,0.518678,0.481322,0.0356395,0.0356395,0.0356395,0.3152,0,0.6695,0.1517,0.0878,0,0.0145,7.0155,0,0.3211,0.0555,0.1661,0.0743,0,0,0.034,0.1373,0,0,0.0811,0,0.0495
INT_STITCHED_282_4,chr1,84886218,84887132,SE,0.0535,0,1.4715,0.6277,1.0635,1.054233333,0,0.3483,0,1.0175,0,0.7424,0.7328,0.8649,1.3132,0,0,0.4972,1.6468,0.4715,0.5861,0.5403,0,0.9393,0,0,0.6792,1.0504,0.4649,0.819,0.8326,0.1116,0,0.2297,0.0824,0.7223,0,0.7957,0,0.7257,0.2206,0.554705,0.445295,0.134318,0.134322,0.13432,0.9335,0.1783,0.4108,0,0,0,0.1296,9.7765,0.3504,0.006,0,0,0,0,0.2325,0,0,0,0,0,0,0.195
INT_STITCHED_315_0,chr1,91766947,91767819,SE,0.9242,0.7843,0.6904,1.7247,3.057,1.824033333,0.858,2.5607,0.8149,4.4127,0.8592,0.4636,3.5581,1.4654,0.3557,0.4139,0.2407,5.0259,5.4413,0.4135,2.695,1.6481,1.6188,6.0442,1.0076,0.8503,1.205,2.2206,1.1427,0.7915,2.7975,0.1616,1.2276,0.2063,0.1333,0.4871,0,0,0,3.2464,1.289,0.494266,0.505734,0.401655,0.409016,0.4053355,1.2538,1.1272,2.0715,0.7005,0.9515,0.2373,0.939,11.5766,0.2961,0.7615,0.408,0.4038,0.3949,0.2902,0.4955,0.298,0.3134,0.2854,0.2509,0.2183,0.6,0.1124
INT_STITCHED_315_1,chr1,91772864,91773527,SE,0.9303,0.8658,2.9883,1.7653,0.924,1.892533333,0.2027,0.8939,0.9153,1.6934,1.2886,0.0874,2.0465,0.7508,0.9143,0.2488,0,1.8052,1.7615,0.3782,0.5261,1.3991,0.3058,3.1952,0.2396,0.5528,1.3574,2.1526,1.1466,0.9171,1.3701,0.2035,0.2376,0.2534,0.1255,0.323,0.0104,0,0,1.2535,1.282,0.535445,0.464555,0.0394,0.0339067,0.03665335,1.2091,1.3253,0.4017,0.3872,0.3675,0.4656,0.416,11.2598,0.1491,0.7289,0.3774,0.6133,0.241,0.1134,0.973,0,0.2103,0,0.2388,0.2033,0,0.5051
INT_STITCHED_368_0,chr1,120538712,120539858,SE,10.1031,0.3001,0.5024,0.7105,1.4808,0.8979,0.445,0.6093,0.331,3.5293,0.4049,0.6662,1.0373,1.4756,1.2167,0.1375,0.222,0.9862,2.2446,0.6707,2.8631,1.6981,1.0721,1.4867,0.5903,0.5448,1.0511,1.1298,0.5201,0.2387,2.2135,0.189,0.2362,0.2252,0.1624,0.2399,0,0.014,0,0.9967,0.9013,0.527051,0.472949,0.137864,0.141691,0.1397775,0.466,0.2167,0.1892,0.4652,0.7959,0.1159,0.2006,0,0.3491,0.3011,0.2659,0.3591,0.3788,0.7044,0,0.0657,0.2141,0.5559,0.2622,0.125,0.4408,0.1908
INT_STITCHED_368_1,chr1,120542039,120542868,SE,0.6113,0.2239,0.7526,0.5106,0.8625,0.708566667,0.1354,1.1769,0.2567,6.6559,4.1993,0.1746,1.9101,2.5924,1.861,0,0,1.9238,6.4546,0.8307,1.0681,1.7473,1.2209,2.0959,0.4222,0.5298,1.1466,0.8624,1.0703,0.532,1.2276,0.0185,0,0.172,0.3341,0,0,0.0228,0,1.1298,1.0105,0.53076,0.46924,0.169936,0.16994,0.169938,1.4474,0.8231,0.7451,0.1567,0.6262,0.0657,0.3766,0,0.4972,0.6013,0.4431,0.2137,1.0764,0.6609,0.3062,0.0753,0.0946,0,0.2101,0.1194,0,0.3263
INT_STITCHED_368_2,chr1,120544250,120545414,SE,6.5493,1.0381,2.0039,2.3971,1.4701,1.957033333,0.5625,3.9462,1.2725,14.3066,0.8527,0.1213,6.6903,2.2147,1.0673,0.1759,0.133,5.3626,9.8085,3.5609,6.0893,2.9406,1.3405,3.5992,0.823,0.734,0.7826,1.1365,1.0935,0.6124,1.8886,0.0273,0.5757,0.127,0.1418,0.4208,0,0.1238,0,3.1866,2.3981,0.510309,0.489691,0.0849478,0.0849478,0.0849478,0.5668,2.6594,0.6511,0.3684,1.5406,0.8056,0.2966,0,0.1211,1.2907,0.5762,1.0813,0.9139,1.1617,0.0262,0.3725,0.3874,0.2595,0.4806,0.2958,0,0.19
INT_STITCHED_372_0,chr1,120971968,120973737,SE,11.3079,2.3548,2.0718,1.7598,3.8407,2.557433333,1.4456,3.3547,2.0404,6.0986,4.6244,1.662,7.6624,2.8749,0.5322,0.4166,0.0119,3.8104,4.4104,1.5466,5.8719,3.3953,1.1708,2.8401,0.9093,1.1437,1.5821,1.6817,1.446,0.9916,4.8703,0.283,0.4015,0.1455,0.2363,0.5526,0,0.0399,0,3.0822,1.9043,0.492369,0.507631,0.156037,0.147282,0.1516595,0.9783,1.9327,1.6848,0.9617,0.5648,0.3106,0.8691,0,1.069,0.6982,0.4654,0.6135,0.309,0.3801,0.469,0.3109,0.3945,0.3245,0.1794,0.2916,1.0588,0.3522
INT_STITCHED_374_0,chr1,121201424,121202481,SE,14.5466,0.8321,1.2699,1.3523,4.1442,2.255466667,0.2458,2.7057,2.9609,47.0881,1.263,1.1896,7.2144,0.9238,0.9632,0,0,5.0459,7.5325,0,3.1852,4.0251,0.9887,2.5477,1.5217,1.4148,0.6408,1.5378,1.5894,0.6162,3.7108,0.3635,0,0.1026,0.1432,0.292,0,0.0819,0,3.4438,1.666,0.483444,0.516556,0.208647,0.202882,0.2057645,1.2185,0.5543,1.0629,0.3961,0.7722,0.8341,0.887,0,0.3336,0.7185,0.5245,0,0.579,0,0.4521,0.1522,0.2052,0.0524,0.0896,0,0.2728,0.3103
INT_STITCHED_376_0,chr1,121295085,121296031,SE,5.4554,1.0427,1.6175,1.4041,3.8941,2.305233333,1.0688,2.9367,0.1926,22.4227,5.3937,0.7046,9.6589,0.7207,0.3607,0,0.0204,4.7994,5.2502,0,7.086,3.1914,0.6979,5.2286,0.7314,1.1007,1.4438,1.8902,0.9241,0.8855,4.1947,0.0295,0.7118,0.1383,0.2475,0.4408,0,0,0.0176,6.2858,2.2527,0.520085,0.479915,0.116337,0.116339,0.116338,0.8925,0.3422,0.5902,0.3397,0.3466,0,0.4262,0,0.9804,0.3059,0.7423,0.0613,0,0,0.1512,0.3152,0.2954,0.2783,0,0.1321,0.3129,0.2359
INT_STITCHED_449_0,chr1,137071028,137071701,SE,0,0.0942,1.8688,1.0267,1.1843,1.359933333,0.202,1.065,0.9133,0.0021,0.2674,0,0.7436,0.4504,1.2564,0,0,1.3768,1.2121,0.1597,1.6617,1.5509,0.1036,0.7226,0.5523,0.4262,1.1777,0.4612,0.4777,0.3123,0.0508,0.0986,0.2748,0.1616,0.2104,0.1938,0,0.07,0.0496,0.7012,1.1631,0.549777,0.450223,0.0885238,0.0885253,0.08852455,1.0642,0.3258,0.1524,0.1731,0.1434,0.0736,0.2399,0,0.3957,0.1736,0.6389,0.2211,0,0.1005,0,0.2972,0.4658,0.1144,0.4586,0.3586,0,0
INT_STITCHED_449_1,chr1,137082347,137083206,SE,6.1583,0.3716,1.8445,1.111,1.5196,1.4917,0.1502,1.0932,2.1238,6.3173,0.2669,1.3872,1.2853,1.2647,0.8359,0.1221,0,1.3135,0.6612,0.4564,1.5977,1.5756,0.6317,1.7606,0.4672,0.4338,1.0389,1.2816,1.5497,0.3939,1.5454,0.4177,0.8597,0.1423,0.3837,0.7775,0,0.0121,0.2248,1.072,1.6142,0.507567,0.492433,0.0766558,0.0766558,0.0766558,1.0513,0.1891,1.3677,0.6648,1.1956,0.6355,0.4208,0,1.1035,0.7001,0.2258,0.5744,0.1032,0.1818,0.5715,0.1362,0.1904,0.0536,0.0448,0.2263,0.2533,0.0161
INT_STITCHED_449_2,chr1,137094854,137096284,SE,1.1402,1.98,1.0607,1.646,1.4302,1.378966667,0,1.6199,1.9155,37.0716,1.4018,0.5738,2.286,4.6759,0.5389,1.0537,0,2.4015,4.1021,0.3421,1.9293,2.5991,1.0583,1.4868,1.2899,0.7687,1.22,1.1888,0.9295,0.6656,2.4569,0.365,0.047,0.2117,0.4011,0.6609,0,0.1223,0,0.7371,1.5644,0.467133,0.532867,0.184534,0.18733,0.185932,1.0796,1.7994,2.5228,0.8101,1.3426,0.8084,1.2006,0,1.1292,1.552,0.2904,0.735,0,0,0,0.1802,0.2872,0.2213,0.2254,0.2216,0.4767,0.0404
